Match_Status,Team1,Team2,Score,Goals
84' (Ended early),EGEMENPROJETAKIMI,BORUSSIA DORTMUND,3 - 0,5' Virgil van Dijk | 45' Erling Haaland | 70' Erling Haaland
12' (Ended early),EGEMENPROJETAKIMI,FK CRVENA ZVEZDA,3 - 0,11' Vini Jr.
FT,EGEMENPROJETAKIMI,AREN,2 - 3,6' Ousmane Dembele | 45' Erling Haaland
FT,EGEMENPROJETAKIMI,TARAJI,4 - 1,39' Erling Haaland | 49' Erling Haaland | 76' Erling Haaland | 89' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,2 - 0,20' Erling Haaland | 68' Vini Jr. | 78' Jude Bellingham
FT,EGEMENPROJETAKIMI,BARCA,3 - 3,5' Vini Jr. | 38' Erling Haaland | 65' Erling Haaland
49' (Ended early),EGEMENPROJETAKIMI,CRAZY TURKS,2 - 1,5' Erling Haaland | 11' Erling Haaland
FT,EGEMENPROJETAKIMI,YOUNG AFRICANS SC,4 - 2,4' Erling Haaland | 18' Ousmane Dembele | 40' Ousmane Dembele | 85' Erling Haaland
FT,EGEMENPROJETAKIMI,JOGA BONITO,1 - 1,34' Erling Haaland
57' (Ended early),EGEMENPROJETAKIMI,FC BARCELONA,4 - 1,3' Erling Haaland | 19' Erling Haaland | 45' Jude Bellingham | 57' Vini Jr.
85' (Ended early),EGEMENPROJETAKIMI,KINGS CITY UKRAINE FC,3 - 5,11' Ousmane Dembele | 28' Ousmane Dembele | 49' Erling Haaland
FT,EGEMENPROJETAKIMI,STERLINS FC,3 - 1,19' Jude Bellingham | 24' Erling Haaland | 44' Erling Haaland
FT,EGEMENPROJETAKIMI,STUDENTS CLOP,1 - 3,72' Erling Haaland
FT,EGEMENPROJETAKIMI,NEW LIFE FOOTBALL ACADEMY,5 - 5,11' Vini Jr. | 31' (PEN) Jude Bellingham | 40' Cristiano Ronaldo | 56' Vini Jr. | 81' Cristiano Ronaldo
89' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,2 - 4,16' Jude Bellingham | 55' Erling Haaland
FT,EGEMENPROJETAKIMI,SBOFARDA,2 - 2,41' Erling Haaland | 45' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER CITY,1 - 1,32' Vini Jr. | 41' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,4 - 4,11' Erling Haaland | 44' Erling Haaland | 57' Erling Haaland | 72' Erling Haaland
FT,EGEMENPROJETAKIMI,FC BAYERN MUNCHEN,3 - 2,10' Erling Haaland | 20' Erling Haaland | 67' Erling Haaland
88' (Ended early),EGEMENPROJETAKIMI,UNIVERSITARIO UU HJAD,0 - 2,
FT,EGEMENPROJETAKIMI,IRAQ,1 - 1,90' Erling Haaland
FT,EGEMENPROJETAKIMI,ALBINO FC,2 - 2,33' Erling Haaland | 79' Vini Jr.
FT,EGEMENPROJETAKIMI,FC BARCELONA,2 - 3,18' Erling Haaland | 45' Erling Haaland
FT,EGEMENPROJETAKIMI,ISTIKLOL FC,1 - 0,66' Erling Haaland
FT,EGEMENPROJETAKIMI,SSSS,0 - 1,45' Andrew Robertson
FT,EGEMENPROJETAKIMI,KING OF SYRIA,1 - 2,72' Erling Haaland
13' (Ended early),EGEMENPROJETAKIMI,MANCHESTER CITY,0 - 3,
85' (Ended early),EGEMENPROJETAKIMI,JAWNEH KARAA,5 - 2,4' Erling Haaland | 52' Vini Jr. | 63' Vini Jr. | 74' Erling Haaland | 85' Vini Jr.
FT,EGEMENPROJETAKIMI,Dream FC,2 - 3,10' Erling Haaland | 33' Erling Haaland
86' (Ended early),EGEMENPROJETAKIMI,MOGHERB ATLATIC TETOUAN,4 - 1,26' Erling Haaland | 36' Erling Haaland | 59' Erling Haaland | 63' Erling Haaland
FT,EGEMENPROJETAKIMI,HAPPY NEW YEAR,1 - 0,49' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,2115 FC,2 - 0,9' Erling Haaland | 49' Erling Haaland
71' (Ended early),EGEMENPROJETAKIMI,EYP,1 - 2,5' Ousmane Dembele
74' (Ended early),EGEMENPROJETAKIMI,MAURITANIA,0 - 2,
FT,EGEMENPROJETAKIMI,CHENGRIHA FC,2 - 2,31' Erling Haaland | 66' Vini Jr. | 69' Antonio Rudiger
