Match_Status,Team1,Team2,Score,Goals
FT,EGEMENPROJETAKIMI,RAJA CASABLANCA,1 - 1,70' Erling Haaland
FT,EGEMENPROJETAKIMI,BANGLA TIGERS,1 - 0,72' Erling Haaland | 81' Vini Jr.
FT,EGEMENPROJETAKIMI,ZIZKO,1 - 2,38' Éder Militao | 50' Erling Haaland
63' (Ended early),EGEMENPROJETAKIMI,JONATHAN,1 - 4,52' Ousmane Dembele
FT,EGEMENPROJETAKIMI,SHAKER,1 - 1,23' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,5 - 1,18' Virgil van Dijk | 38' Vini Jr. | 57' Ousmane Dembele | 60' Vini Jr. | 79' Vini Jr.
FT,EGEMENPROJETAKIMI,ADD INSTA- KRN.B,3 - 2,48' Erling Haaland | 73' Erling Haaland | 85' Erling Haaland
FT,EGEMENPROJETAKIMI,LOS PULARDOS FC,2 - 2,77' Jude Bellingham | 86' Erling Haaland
FT,EGEMENPROJETAKIMI,FC BARCELONA,3 - 2,30' Ousmane Dembele | 44' Vini Jr. | 61' Rodri | 89' Erling Haaland
FT,EGEMENPROJETAKIMI,ALBANIA,0 - 1,85' Kingsley Coman
39' (Ended early),EGEMENPROJETAKIMI,TURKIYE,1 - 4,22' Marc-Andre Ter Stegen
FT,EGEMENPROJETAKIMI,ESPERANCE SPORTIF TUNIS,1 - 2,77' Erling Haaland
FT,EGEMENPROJETAKIMI,ELFUEGO,1 - 2,84' Erling Haaland
86' (Ended early),EGEMENPROJETAKIMI,BAYERN,3 - 1,39' Erling Haaland | 55' Erling Haaland | 86' Erling Haaland
FT,EGEMENPROJETAKIMI,TRAGACETE CF,1 - 1,4' Erling Haaland
FT,EGEMENPROJETAKIMI,NEVER LOSE,2 - 1,45' Erling Haaland | 65' Vini Jr.
FT,EGEMENPROJETAKIMI,FC BARCELONA,3 - 3,25' Erling Haaland | 69' Erling Haaland | 83' Erling Haaland
FT,EGEMENPROJETAKIMI,ISRAEL,2 - 1,23' Rodri | 88' Erling Haaland | 89' Kingsley Coman
FT,EGEMENPROJETAKIMI,WATSSAP 213657393324,2 - 0,40' Vini Jr. | 90' Erling Haaland
74' (Ended early),EGEMENPROJETAKIMI,LOS TEMERARIOS,0 - 2,
52' (Ended early),EGEMENPROJETAKIMI,Dream FC,1 - 3,44' Ousmane Dembele
FT,EGEMENPROJETAKIMI,ALGERIA,3 - 2,15' Virgil van Dijk | 30' Erling Haaland | 53' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,4 - 3,20' Erling Haaland | 27' Erling Haaland | 63' Erling Haaland | 70' Vini Jr.
FT,EGEMENPROJETAKIMI,CAERO,1 - 0,65' Erling Haaland
47' (Ended early),EGEMENPROJETAKIMI,TUNES,1 - 2,8' Vini Jr.
82' (Ended early),EGEMENPROJETAKIMI,CHELSEA,0 - 3,
FT,EGEMENPROJETAKIMI,ALMATY,1 - 3,90' Vini Jr.
AET,EGEMENPROJETAKIMI,FCB LIBEY22,2 - 4,5' Erling Haaland | 62' Erling Haaland
FT,EGEMENPROJETAKIMI,RMA,2 - 1,10' Erling Haaland | 57' Erling Haaland
FT,EGEMENPROJETAKIMI,ALAITIHAD 1944 LIBYA,2 - 1,6' Vini Jr. | 40' Kevin De Bruyne | 62' Erling Haaland | 86' Erling Haaland
89' (Ended early),EGEMENPROJETAKIMI,LITIJA,0 - 2,
80' (Ended early),EGEMENPROJETAKIMI,GALATASARAY SK,2 - 0,10' Erling Haaland | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,MAN CAN'T SLEEP FC,1 - 2,20' Vini Jr. | 55' Andrew Robertson | 89' Jude Bellingham
FT,EGEMENPROJETAKIMI,FENERBAHCE,1 - 3,49' Éder Militao | 57' Vini Jr.
FT,EGEMENPROJETAKIMI,REAL MADRID,4 - 2,18' Cristiano Ronaldo | 54' Erling Haaland | 79' Kylian Mbappe | 90' Kylian Mbappe
FT,EGEMENPROJETAKIMI,KARTAL,1 - 0,45' Vini Jr.
FT,EGEMENPROJETAKIMI,TOKSTESLA,0 - 1,
FT,EGEMENPROJETAKIMI,FC LIMAN,3 - 2,13' Kylian Mbappe | 50' Antonio Rudiger | 60' Ousmane Dembele | 67' Éder Militao | 69' Bernardo Silva | 77' Erling Haaland | 82' Erling Haaland
FT,EGEMENPROJETAKIMI,KFLLAPI,1 - 3,66' (PEN) Erling Haaland
45' (Ended early),EGEMENPROJETAKIMI,NLE TOP SHOTTAS,3 - 0,24' Bernardo Silva
AET,EGEMENPROJETAKIMI,TRABZONSPOR,1 - 2,45' Bernardo Silva
FT,EGEMENPROJETAKIMI,LIBYA,1 - 4,23' Erling Haaland
FT,EGEMENPROJETAKIMI,R MADRID,3 - 2,21' Erling Haaland | 41' Vini Jr. | 53' Erling Haaland
47' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,4 - 1,8' Erling Haaland
72' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,3 - 0,9' Erling Haaland | 28' Erling Haaland | 72' Erling Haaland
FT,EGEMENPROJETAKIMI,DOGGOTTY PALACE,3 - 2,17' Erling Haaland | 65' Erling Haaland | 82' Erling Haaland
FT,EGEMENPROJETAKIMI,Dream FC,1 - 0,25' Erling Haaland | 90' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,JANGO FC,2 - 1,22' Cristiano Ronaldo | 71' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,REAL MADRID,0 - 1,37' Andrew Robertson
FT,EGEMENPROJETAKIMI,FC DIOUNTOU,1 - 2,54' Denzel Dumfries
FT,EGEMENPROJETAKIMI,REAL MADRID,2 - 1,4' Cristiano Ronaldo | 66' Cristiano Ronaldo | 90' Virgil van Dijk
AET,EGEMENPROJETAKIMI,GALATASARAY,3 - 4,20' Cristiano Ronaldo | 29' Cristiano Ronaldo | 49' Bernardo Silva | 105' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,R MADRID,3 - 1,66' Erling Haaland | 97' Kingsley Coman | 117' Erling Haaland
FT,EGEMENPROJETAKIMI,WAHALA FC,0 - 2,
28' (Ended early),EGEMENPROJETAKIMI,SOM FC,3 - 0,23' Antonio Rudiger
FT,EGEMENPROJETAKIMI,SYREIA,1 - 0,40' Ousmane Dembele
FT,EGEMENPROJETAKIMI,LAREEN,3 - 7,32' Ousmane Dembele | 41' Kevin De Bruyne | 45' Cristiano Ronaldo | 50' Cristiano Ronaldo
AET,EGEMENPROJETAKIMI,EMBRACE WHITE BLOOD,2 - 1,58' Erling Haaland | 95' Kylian Mbappe
FT,EGEMENPROJETAKIMI,REAL KIM LECCE,3 - 1,32' Cristiano Ronaldo | 42' Cristiano Ronaldo | 88' Kingsley Coman
85' (Ended early),EGEMENPROJETAKIMI,Dream FC,5 - 3,38' Vini Jr. | 45' Vini Jr. | 61' Cristiano Ronaldo | 68' Cristiano Ronaldo | 85' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,PALM CF,1 - 2,30' Erling Haaland
FT,EGEMENPROJETAKIMI,KIKI FC,3 - 2,4' Kingsley Coman | 44' Erling Haaland | 65' Erling Haaland
AET,EGEMENPROJETAKIMI,KAYSERISPOR,4 - 2,4' Erling Haaland | 75' Vini Jr. | 96' Erling Haaland | 111' Kylian Mbappe
FT,EGEMENPROJETAKIMI,ESPERANCE DE TUNIS,1 - 2,41' Erling Haaland
FT,EGEMENPROJETAKIMI,MAROC,3 - 4,7' Cristiano Ronaldo | 18' Vini Jr. | 86' Cristiano Ronaldo
53' (Ended early),EGEMENPROJETAKIMI,MANCHESTER UNITED,3 - 1,3' Cristiano Ronaldo | 11' Cristiano Ronaldo | 53' Cristiano Ronaldo
AET,EGEMENPROJETAKIMI,ALGERIE,4 - 4,13' Erling Haaland | 61' Erling Haaland | 95' Vini Jr. | 112' Kingsley Coman
AET,EGEMENPROJETAKIMI,Dream FC,3 - 4,26' Erling Haaland | 82' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,TIL,4 - 1,10' Erling Haaland | 29' Erling Haaland | 37' Erling Haaland | 72' Erling Haaland
AET,EGEMENPROJETAKIMI,MOROCCO,3 - 3,45' Erling Haaland | 75' Ousmane Dembele | 105' Erling Haaland
FT,EGEMENPROJETAKIMI,UZBEKISTAN,3 - 1,49' Erling Haaland | 78' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,USAKSPOR,0 - 3,
FT,EGEMENPROJETAKIMI,FK PARTIZAN BEOGRAD,1 - 0,60' Ousmane Dembele
FT,EGEMENPROJETAKIMI,MAROCCO,0 - 2,
FT,EGEMENPROJETAKIMI,GALATASARAY,1 - 3,24' Erling Haaland | 88' Éder Militao
56' (Ended early),EGEMENPROJETAKIMI,ALBANIA,0 - 4,
FT,EGEMENPROJETAKIMI,LEGENT,3 - 1,33' Erling Haaland | 67' Vini Jr. | 90' Kingsley Coman
AET,EGEMENPROJETAKIMI,REAL MADRID,3 - 3,45' Erling Haaland | 45' Vini Jr. | 82' Denzel Dumfries
FT,EGEMENPROJETAKIMI,KURDISTAN,4 - 1,45' Erling Haaland | 51' Erling Haaland | 65' Erling Haaland | 74' Erling Haaland
AET,EGEMENPROJETAKIMI,MONSTERS C.F,4 - 2,70' (PEN) Erling Haaland | 89' Kingsley Coman | 93' Erling Haaland | 102' Erling Haaland
FT,EGEMENPROJETAKIMI,MASTER,2 - 3,65' Bernardo Silva | 84' Virgil van Dijk | 88' Kylian Mbappe
FT,EGEMENPROJETAKIMI,KAR,3 - 0,35' Jude Bellingham | 49' Kylian Mbappe | 62' Vini Jr. | 69' Éder Militao
AET,EGEMENPROJETAKIMI,FC BARCELONA,8 - 5,21' Erling Haaland | 28' Erling Haaland | 43' Kevin De Bruyne | 59' Andrew Robertson | 68' Erling Haaland | 100' Bernardo Silva | 113' Kingsley Coman | 118' Denzel Dumfries | 120' Erling Haaland
FT,EGEMENPROJETAKIMI,ONESEVEN,0 - 5,90' Antonio Rudiger
FT,EGEMENPROJETAKIMI,PROSCKOL,1 - 2,68' Rodri
FT,EGEMENPROJETAKIMI,ALG,1 - 0,32' Vini Jr.
FT,EGEMENPROJETAKIMI,LION HEART FC,5 - 4,18' Erling Haaland | 30' Ousmane Dembele | 40' Erling Haaland | 60' Erling Haaland | 78' Jude Bellingham
89' (Ended early),EGEMENPROJETAKIMI,ALAHLY,1 - 3,50' Vini Jr.
FT,EGEMENPROJETAKIMI,TEE,2 - 1,54' Antonio Rudiger | 90' Ousmane Dembele
FT,EGEMENPROJETAKIMI,A TOWN,1 - 2,31' Kevin De Bruyne
4' (Ended early),EGEMENPROJETAKIMI,BBH,3 - 0,7' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,OPTA,1 - 3,48' Erling Haaland
FT,EGEMENPROJETAKIMI,ARVA FC,4 - 1,69' Erling Haaland | 77' (PEN) Erling Haaland | 81' Kylian Mbappe | 89' Erling Haaland | 90' Kylian Mbappe
FT,EGEMENPROJETAKIMI,G3OX3 FC,0 - 1,
FT,EGEMENPROJETAKIMI,ALL STAR CLUB,4 - 2,4' Éder Militao | 45' Erling Haaland | 63' Vini Jr. | 82' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE SK,2 - 0,45' Vini Jr. | 86' Antonio Rudiger
FT,EGEMENPROJETAKIMI,LEO MESSI,4 - 3,18' Erling Haaland | 48' Erling Haaland | 66' Vini Jr. | 89' Erling Haaland
72' (Ended early),EGEMENPROJETAKIMI,MANCHESTER CITY,3 - 0,44' Éder Militao | 52' Erling Haaland | 72' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,NASAF FC,4 - 2,41' Ousmane Dembele | 58' Erling Haaland | 84' Erling Haaland | 89' Kingsley Coman
FT,EGEMENPROJETAKIMI,WYDAD CASABLANCA,0 - 0,
45' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,4 - 1,23' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER,4 - 1,13' Erling Haaland | 40' Erling Haaland | 49' Erling Haaland | 71' Erling Haaland
5' (Ended early),EGEMENPROJETAKIMI,GAREM,0 - 3,5' Antonio Rudiger
FT,EGEMENPROJETAKIMI,USKUP CITY,0 - 1,
FT,EGEMENPROJETAKIMI,TURKYE,0 - 1,40' Antonio Rudiger | 74' Éder Militao
FT,EGEMENPROJETAKIMI,ACCOR,2 - 1,77' Erling Haaland | 90' Antonio Rudiger
FT,EGEMENPROJETAKIMI,FC INTER,3 - 1,11' Erling Haaland | 24' Erling Haaland | 54' Erling Haaland
FT,EGEMENPROJETAKIMI,MEN NETOM,2 - 1,9' Erling Haaland | 21' Erling Haaland | 63' Ousmane Dembele
FT,EGEMENPROJETAKIMI,BARINAS CITY FC,3 - 4,9' Vini Jr. | 38' Bernardo Silva | 61' Erling Haaland
AET,EGEMENPROJETAKIMI,START,6 - 3,32' Ousmane Dembele | 57' Erling Haaland | 71' Erling Haaland | 96' Erling Haaland | 108' Erling Haaland | 118' Erling Haaland
FT,EGEMENPROJETAKIMI,RED BLACK,1 - 2,68' Erling Haaland
45' (Ended early),EGEMENPROJETAKIMI,GALATASARAY,4 - 1,7' Erling Haaland | 17' Vini Jr. | 24' Erling Haaland
FT,EGEMENPROJETAKIMI,NEJMEH,0 - 1,
FT,EGEMENPROJETAKIMI,ZEZEKOO,1 - 0,25' Antonio Rudiger | 90' Antonio Rudiger
87' (Ended early),EGEMENPROJETAKIMI,Dream FC,4 - 2,23' Antonio Rudiger | 43' Jude Bellingham | 52' Vini Jr. | 87' Erling Haaland
FT,EGEMENPROJETAKIMI,ESTEGHLAL FC,1 - 3,90' Antonio Rudiger | 90' Éder Militao
FT,EGEMENPROJETAKIMI,TURKEY CIKSALIN SK,2 - 1,59' Erling Haaland | 71' Erling Haaland
FT,EGEMENPROJETAKIMI,GALAXY WARRIORS,3 - 2,56' Erling Haaland | 78' Erling Haaland | 88' Erling Haaland
56' (Ended early),EGEMENPROJETAKIMI,AL BOB,0 - 3,
87' (Ended early),EGEMENPROJETAKIMI,FC BG,6 - 4,16' Erling Haaland | 28' Vini Jr. | 35' Erling Haaland | 49' Erling Haaland | 70' Erling Haaland | 87' Erling Haaland
FT,EGEMENPROJETAKIMI,FENER BAHCE,1 - 2,86' Vini Jr.
FT,EGEMENPROJETAKIMI,GYPSY KINGS,3 - 0,5' Antonio Rudiger | 66' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,BARCELONA,2 - 1,16' Erling Haaland | 43' Erling Haaland
FT,EGEMENPROJETAKIMI,FC BARCELONE,3 - 1,42' Ousmane Dembele | 66' Ousmane Dembele | 71' Kingsley Coman
75' (Ended early),EGEMENPROJETAKIMI,GHOST TOUCH FC,5 - 2,26' Erling Haaland | 44' Erling Haaland
FT,EGEMENPROJETAKIMI,FC STARS,2 - 0,41' Virgil van Dijk | 89' Erling Haaland
FT,EGEMENPROJETAKIMI,OQUZHAN,3 - 1,17' Vini Jr. | 38' Erling Haaland | 50' Erling Haaland
FT,EGEMENPROJETAKIMI,FC GORLOVKA,2 - 1,50' Antonio Rudiger | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,CHELSEA F C,2 - 1,45' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,2DROTS,1 - 0,63' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY,3 - 2,4' Erling Haaland | 40' Erling Haaland | 64' Erling Haaland
FT,EGEMENPROJETAKIMI,DONFRANK FC,1 - 2,39' Erling Haaland
FT,EGEMENPROJETAKIMI,RAJA CLUB ATHLETIC,4 - 3,7' Erling Haaland | 20' Erling Haaland | 59' Erling Haaland | 71' Erling Haaland | 78' Bernardo Silva
FT,EGEMENPROJETAKIMI,YOUCEF,2 - 1,6' Jude Bellingham | 31' Erling Haaland
45' (Ended early),EGEMENPROJETAKIMI,CRVENA ZVEZDA,1 - 3,12' Erling Haaland
FT,EGEMENPROJETAKIMI,FC CZADS,1 - 1,27' Antonio Rudiger
FT,EGEMENPROJETAKIMI,FK KRAJINA,1 - 2,7' Erling Haaland
64' (Ended early),EGEMENPROJETAKIMI,ALL OUT,3 - 0,17' Erling Haaland | 65' Erling Haaland
FT,EGEMENPROJETAKIMI,PALUSPOR,0 - 1,
FT,EGEMENPROJETAKIMI,FCB,3 - 0,16' Vini Jr. | 33' Kevin De Bruyne | 42' Erling Haaland | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,GALATASARAY,2 - 2,24' Erling Haaland | 75' Erling Haaland | 78' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,2 - 5,30' Jude Bellingham | 42' Erling Haaland
17' (Ended early),EGEMENPROJETAKIMI,AL AHLY,0 - 3,
FT,EGEMENPROJETAKIMI,ZANAROS FC,2 - 2,7' Antonio Rudiger | 53' Erling Haaland
FT,EGEMENPROJETAKIMI,FC BARCELONA,6 - 3,33' Ousmane Dembele | 51' Ousmane Dembele | 83' Erling Haaland | 90' Bernardo Silva
27' (Ended early),EGEMENPROJETAKIMI,KS POLKOWICE,3 - 0,26' Erling Haaland
FT,EGEMENPROJETAKIMI,AHLAY,4 - 3,14' Ousmane Dembele | 41' Erling Haaland | 53' Antonio Rudiger | 90' Luka Modrić
FT,EGEMENPROJETAKIMI,AFGANISTAN,2 - 1,26' Erling Haaland | 60' Erling Haaland | 82' Antonio Rudiger
FT,EGEMENPROJETAKIMI,SHENO ELFAGER,4 - 2,4' Erling Haaland | 37' Erling Haaland | 50' Erling Haaland | 61' Erling Haaland | 85' Erling Haaland
FT,EGEMENPROJETAKIMI,ALEXANDRIA XI,2 - 4,26' Erling Haaland | 51' Erling Haaland | 57' Éder Militao | 65' Antonio Rudiger | 90' Denzel Dumfries
FT,EGEMENPROJETAKIMI,TRABZONSPOR,2 - 2,6' Erling Haaland | 13' Erling Haaland
FT,EGEMENPROJETAKIMI,CHELSEA FC,4 - 2,14' Erling Haaland | 56' Erling Haaland | 82' (PEN) Erling Haaland | 90' Erling Haaland
74' (Ended early),EGEMENPROJETAKIMI,ALGERIEN,4 - 1,56' Erling Haaland
41' (Ended early),EGEMENPROJETAKIMI,MC 775 FC,0 - 3,25' Antonio Rudiger
FT,EGEMENPROJETAKIMI,ACMILAN,2 - 2,39' Erling Haaland | 48' Kevin De Bruyne | 51' Éder Militao
FT,EGEMENPROJETAKIMI,FENERBAHCE,2 - 2,53' Erling Haaland | 90' Virgil van Dijk
FT,EGEMENPROJETAKIMI,LIVERPOOL,2 - 1,8' Erling Haaland | 53' Erling Haaland | 73' Andrew Robertson
FT,EGEMENPROJETAKIMI,BARCHALONA,2 - 3,5' Erling Haaland | 8' Antonio Rudiger | 38' Erling Haaland
FT,EGEMENPROJETAKIMI,OFK BEOGRAD,1 - 2,87' Jude Bellingham
FT,EGEMENPROJETAKIMI,LIVERPOOL,3 - 2,15' Antonio Rudiger | 24' Erling Haaland | 41' Erling Haaland | 85' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,X999,0 - 0,
FT,EGEMENPROJETAKIMI,SHARONS FC,2 - 2,10' Virgil van Dijk | 74' Erling Haaland
80' (Ended early),EGEMENPROJETAKIMI,ADANA DEMIRSPOR,1 - 4,8' Erling Haaland | 31' Antonio Rudiger
FT,EGEMENPROJETAKIMI,MORROCCO,0 - 0,
FT,EGEMENPROJETAKIMI,FENERBAHCE SK,1 - 1,63' Erling Haaland
FT,EGEMENPROJETAKIMI,RAJA CLUB ATHLETIC,2 - 1,29' Cristiano Ronaldo | 57' Denzel Dumfries | 89' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,AL AHLY FC,4 - 4,56' Erling Haaland | 65' Erling Haaland | 77' Vini Jr. | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,WES,1 - 4,10' Vini Jr. | 79' Éder Militao | 88' Antonio Rudiger | 90' Jude Bellingham
FT,EGEMENPROJETAKIMI,BAYERN MUNICH,2 - 2,42' Erling Haaland | 55' Ousmane Dembele | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,BARCELONA,0 - 2,
FT,EGEMENPROJETAKIMI,QARABAGH FK,4 - 3,5' Vini Jr. | 54' Vini Jr. | 77' Erling Haaland | 88' Rodri
FT,EGEMENPROJETAKIMI,AL AHLY,1 - 1,35' Erling Haaland
81' (Ended early),EGEMENPROJETAKIMI,JOPRAN,2 - 0,66' Erling Haaland | 81' Erling Haaland
68' (Ended early),EGEMENPROJETAKIMI,PANATHINAIKOS FC,3 - 0,27' (PEN) Erling Haaland | 45' Jude Bellingham
FT,EGEMENPROJETAKIMI,REAL MADRID,2 - 2,14' Kevin De Bruyne | 74' Erling Haaland | 90' Luka Modrić
FT,EGEMENPROJETAKIMI,BARCELONA,3 - 1,5' Erling Haaland | 25' Denzel Dumfries | 35' Erling Haaland
FT,EGEMENPROJETAKIMI,FC ALMATY,1 - 0,53' Ousmane Dembele
FT,EGEMENPROJETAKIMI,WYDAD ATHLETIC,2 - 2,15' Erling Haaland | 22' Erling Haaland | 45' Virgil van Dijk
FT,EGEMENPROJETAKIMI,ZAZA,2 - 0,65' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,RM UZB,5 - 3,14' Erling Haaland | 44' Erling Haaland | 52' Erling Haaland | 61' Erling Haaland | 66' Erling Haaland
FT,EGEMENPROJETAKIMI,ETHIOPIA,0 - 1,
FT,EGEMENPROJETAKIMI,AT KAFASI SPOR,4 - 4,9' Erling Haaland | 64' Erling Haaland | 72' Erling Haaland | 87' Cristiano Ronaldo
18' (Ended early),EGEMENPROJETAKIMI,IONUT,3 - 0,12' Erling Haaland | 18' Erling Haaland
FT,EGEMENPROJETAKIMI,CIMBOM,2 - 1,3' Cristiano Ronaldo | 9' Antonio Rudiger | 67' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,DJALIROU,1 - 0,86' Erling Haaland | 90' Éder Militao
FT,EGEMENPROJETAKIMI,MOKOENA FC,2 - 2,24' Kingsley Coman | 80' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY,6 - 3,6' Cristiano Ronaldo | 28' Cristiano Ronaldo | 43' Cristiano Ronaldo | 57' Erling Haaland | 63' Erling Haaland | 85' Kingsley Coman | 88' Éder Militao | 90' Andrew Robertson
FT,EGEMENPROJETAKIMI,GERMANY,3 - 0,4' Cristiano Ronaldo | 61' Kingsley Coman | 83' Erling Haaland
FT,EGEMENPROJETAKIMI,YENI MALATYASPOR,3 - 0,76' Erling Haaland | 80' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,SKY FC,2 - 2,39' Jude Bellingham | 70' Vini Jr. | 82' Erling Haaland
FT,EGEMENPROJETAKIMI,US SALERNITANA,2 - 3,32' Cristiano Ronaldo | 89' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,T99,0 - 2,
86' (Ended early),EGEMENPROJETAKIMI,ERNAR,4 - 1,12' Erling Haaland
FT,EGEMENPROJETAKIMI,ALAHLY FC,2 - 2,63' Kevin De Bruyne | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,RACHED SA FC,1 - 2,18' Ousmane Dembele
FT,EGEMENPROJETAKIMI,MANCHESTER BLUE,2 - 1,44' Erling Haaland | 77' Ousmane Dembele
FT,EGEMENPROJETAKIMI,LOCOMOTION FC,0 - 1,
FT,EGEMENPROJETAKIMI,A MILAN,1 - 0,34' Lautaro Martinez
FT,EGEMENPROJETAKIMI,J TURIN,3 - 0,28' Lautaro Martinez | 55' Alessandro Bastoni | 63' Hakan Çalhanoğlu
FT,EGEMENPROJETAKIMI,A MILAN,2 - 3,50' Marcus Thuram | 90' Marcus Thuram
69' (Ended early),EGEMENPROJETAKIMI,LAZIO,4 - 1,3' Marcus Thuram | 15' Francesco Acerbi | 20' Marcus Thuram | 69' Marcus Thuram
FT,EGEMENPROJETAKIMI,LAZIO,2 - 1,40' Lautaro Martinez | 78' Marcus Thuram
FT,EGEMENPROJETAKIMI,J TURIN,4 - 1,3' Marcus Thuram | 33' Marcus Thuram | 67' Marcus Thuram | 79' Marcus Thuram
76' (Ended early),EGEMENPROJETAKIMI,I MILAN,5 - 2,19' Marcus Thuram | 25' Marcus Thuram | 58' Marcus Thuram | 64' Lautaro Martinez | 76' Nicolo Barella
FT,EGEMENPROJETAKIMI,I MILAN,2 - 1,19' Marcus Thuram | 55' Lautaro Martinez | 84' Francesco Acerbi
FT,EGEMENPROJETAKIMI,A MILAN,0 - 0,
FT,EGEMENPROJETAKIMI,A MILAN,2 - 2,33' Marcus Thuram | 67' Marcus Thuram
40' (Ended early),EGEMENPROJETAKIMI,NAPOLI,3 - 0,6' Marcus Thuram | 19' Henrikh Mkhitaryan | 40' Marcus Thuram
83' (Ended early),EGEMENPROJETAKIMI,CHELSEA,0 - 2,
FT,EGEMENPROJETAKIMI,LIVERPOOL,2 - 2,10' Erling Haaland | 55' Erling Haaland
8' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,3 - 0,8' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,2 - 0,62' Rodri | 80' Erling Haaland
FT,EGEMENPROJETAKIMI,ARSENAL,3 - 3,45' Erling Haaland | 68' Erling Haaland | 81' Jack Grealish
88' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,4 - 1,19' Phil Foden | 42' Erling Haaland | 52' Kevin De Bruyne | 88' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER C,2 - 2,39' Erling Haaland | 85' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER C,4 - 0,23' Erling Haaland | 42' Erling Haaland | 64' Erling Haaland | 83' Kevin De Bruyne
66' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,0 - 3,17' Manuel Akanji
FT,EGEMENPROJETAKIMI,LIVERPOOL,1 - 3,84' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,3 - 1,14' Phil Foden | 37' Erling Haaland | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER U,2 - 0,58' Kevin De Bruyne | 68' Rodri
FT,EGEMENPROJETAKIMI,ARSENAL,2 - 3,24' Rodri | 49' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,3 - 3,12' Erling Haaland | 37' Erling Haaland | 66' Ruben Dias
FT,EGEMENPROJETAKIMI,BE NICE OR BE QUIET,2 - 3,72' Erling Haaland | 80' Bernardo Silva
FT,EGEMENPROJETAKIMI,GEORGIA,1 - 0,43' Antonio Rudiger | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER CITY,2 - 2,27' Rodri | 84' Ousmane Dembele
81' (Ended early),EGEMENPROJETAKIMI,GALATASARAY,2 - 0,52' Erling Haaland | 65' Erling Haaland
FT,EGEMENPROJETAKIMI,REALMADRID,3 - 2,30' Cristiano Ronaldo | 52' Antonio Rudiger | 60' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,ALAHLY MS,2 - 1,56' Erling Haaland | 77' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY FC,3 - 2,68' Erling Haaland | 79' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,CHERNOMORETS ODESSA,3 - 2,32' Jude Bellingham | 44' Cristiano Ronaldo | 75' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE BATMAN,1 - 1,82' Erling Haaland
FT,EGEMENPROJETAKIMI,OSCAR,1 - 0,14' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,NIGL FC,2 - 1,35' Cristiano Ronaldo | 58' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,UZBEKISTON,1 - 2,52' Antonio Rudiger
45' (Ended early),EGEMENPROJETAKIMI,CF REAL MADRID,4 - 1,18' Kingsley Coman | 45' Cristiano Ronaldo
